
TAMAKI shape_0 3-D Printed 10 September 2023

DISTANCE  DIAMETER
0.00      30.00
72.58     24.00
173.06    26.66
257.73    36.00
353.16    24.01
482.89    30.25
545.40    36.17
628.04    36.46
760.62    25.65
853.20    26.56
945.78    37.32
998.35    29.29
1119.42   49.76
1183.51   55.46
1296.09   60.39
1388.66   77.00
