0.00000	0.02899
0.01660	0.02605
0.09408	0.02730
0.10140	0.03302
0.12100	0.02535
0.14962	0.02474
0.16218	0.02843
0.20759	0.02765
0.32518	0.02843
0.37672	0.03364
0.38569	0.02962
0.39188	0.02838
0.46553	0.04066
0.49356	0.04496
0.51869	0.03800
0.53224	0.04432
0.57149	0.04438
0.60425	0.04467
0.68891	0.04796
0.73550	0.04992
0.73688	0.05242
0.78145	0.04487
0.83364	0.05241
0.84735	0.04683
0.84873	0.04678
0.87862	0.04709
0.88467	0.04712
0.95546	0.05482
0.96204	0.04195
0.99940	0.04990
1.10008	0.05908
1.15210	0.07028
1.19607	0.07477
1.22320	0.07712
1.31184	0.07876
1.34270	0.06267
1.36389	0.07985
1.39306	0.08767
1.39560	0.08678
1.43470	0.08796
1.51909	0.08698
