Index,X,Y,Z
0,0.0825863927602768,-0.140555739402771,0.1965990513563156
191,0.0825863927602768,-0.15385664999485016,0.19660545885562897
192,0.0825863927602768,-0.16715757548809052,0.19661188125610352
193,0.0825863927602768,-0.18045848608016968,0.19661830365657806
194,0.0825863927602768,-0.19375938177108765,0.19662471115589142
195,0.0825863927602768,-0.2070602923631668,0.19663113355636597
196,0.0825863927602768,-0.22036120295524597,0.19663755595684052
197,0.0825863927602768,-0.23366209864616394,0.19664396345615387
198,0.0825863927602768,-0.2469630092382431,0.19665038585662842
199,0.0825863927602768,-0.26026391983032227,0.19665680825710297
200,0.0825863927602768,-0.27356481552124023,0.1966632455587387
1,0.0825863927602768,-0.2868657112121582,0.19666965305805206
2,0.0825863927602768,-0.2940942645072937,0.19674651324748993
3,0.0825863927602768,-0.30080199241638184,0.1968274861574173
4,0.0825863927602768,-0.30706652998924255,0.1969105452299118
5,0.0825863927602768,-0.31296539306640625,0.19699357450008392
6,0.0825863927602768,-0.3185761570930481,0.1970745176076889
7,0.0825863927602768,-0.3239763379096985,0.1971512883901596
8,0.0825863927602768,-0.3292435109615326,0.1972218006849289
9,0.0825863927602768,-0.3344552218914032,0.19728399813175201
10,0.0825863927602768,-0.3396890163421631,0.19733577966690063
11,0.0825863853096962,-0.3450224697589874,0.19737505912780762
12,0.0825863853096962,-0.350533127784729,0.1973997801542282
13,0.0825863853096962,-0.3562959134578705,0.19740718603134155
14,0.0825863853096962,-0.36231446266174316,0.19737668335437775
15,0.0825863853096962,-0.3685147762298584,0.19726824760437012
16,0.0825863853096962,-0.3748188614845276,0.19704078137874603
17,0.0825863853096962,-0.3811487555503845,0.19665329158306122
18,0.0825863853096962,-0.387426495552063,0.19606472551822662
19,0.0825863853096962,-0.393574059009552,0.1952340304851532
20,0.0825863853096962,-0.3995135426521301,0.19412018358707428
21,0.0825863853096962,-0.4051669239997864,0.19268213212490082
22,0.0825863853096962,-0.4104562997817993,0.19087885320186615
23,0.0825863853096962,-0.41530364751815796,0.18866924941539764
24,0.0825863853096962,-0.4196310043334961,0.18601234257221222
25,0.0825863853096962,-0.4233603775501251,0.18286706507205963
26,0.0825863853096962,-0.4264138340950012,0.17919233441352844
27,0.0825863778591156,-0.4287257194519043,0.1749691367149353
28,0.0825863778591156,-0.43029069900512695,0.17028553783893585
29,0.0825863778591156,-0.4311217665672302,0.1652623862028122
30,0.0825863778591156,-0.4312320351600647,0.16002054512500763
31,0.0825863778591156,-0.4306344985961914,0.15468084812164307
32,0.082586370408535,-0.42934226989746094,0.1493641585111618
33,0.082586370408535,-0.4273683428764343,0.14419132471084595
34,0.082586370408535,-0.4247257709503174,0.1392832100391388
35,0.082586370408535,-0.4214276373386383,0.13476064801216125
36,0.082586370408535,-0.4174869656562805,0.13074448704719543
37,0.082586370408535,-0.4129168391227722,0.12735559046268463
38,0.0825863629579544,-0.40773025155067444,0.12471478432416916
39,0.0825863629579544,-0.4019402861595154,0.1229429617524147
40,0.0825863927602768,-0.3955604135990143,0.12215807288885117
41,0.08258771896362305,-0.388618141412735,0.12236616015434265
42,0.08259319514036179,-0.38115957379341125,0.12342790514230728
43,0.08260577917098999,-0.37323203682899475,0.12519432604312897
44,0.08262844383716583,-0.36488279700279236,0.12751631438732147
